$|\nabla p|$ ,Points_0,Points_1,Points_2,f,gradp_0,gradp_1,gradp_2,gradp_Magnitude,p,u_0,u_1,u_2,u_Magnitude
4.206772349e-06,0.009999999776,0,0,1,-1.304031002e-06,3.370419336e-06,0,3.613893114e-06,0.3743730783,-1.290995442e-05,-2.028304834e-06,1.998511195,1.998511195
0.02398515218,0.009999999776,0,0.02999999933,1,-4.916108537e-06,1.597481059e-05,-0.02398514003,0.02398514561,0.373744458,-1.263681406e-05,-2.027806431e-06,1.998604655,1.998604655
0.01913755101,0.009999999776,0,0.05999999866,1,-8.46097555e-06,2.566735566e-05,-0.01913752034,0.01913753897,0.3732009232,-1.214326221e-05,-2.021756927e-06,1.99868536,1.99868536
0.01857279974,0.009999999776,0,0.09000000358,1,-1.033417902e-05,3.298846786e-05,-0.01857274771,0.01857277937,0.3726385236,-1.148049887e-05,-2.009056516e-06,1.998766065,1.998766065
0.01832076137,0.009999999776,0,0.1199999973,1,-1.140267705e-05,3.82781509e-05,-0.01832069084,0.01832073368,0.3720859587,-1.069586324e-05,-1.989690645e-06,1.99884212,1.99884212
0.01795340386,0.009999999776,0,0.150000006,1,-1.174952286e-05,4.114078911e-05,-0.01795332134,0.01795337163,0.3715445101,-9.838552614e-06,-1.963470822e-06,1.998912573,1.998912573
0.01756331044,0.009999999776,0,0.1800000072,1,-1.143923237e-05,4.177998562e-05,-0.01756322384,0.01756327786,0.371014595,-8.9538662e-06,-1.930319513e-06,1.998977542,1.998977542
0.01717083878,0.009999999776,0,0.2099999934,1,-1.062540923e-05,4.058054037e-05,-0.01717075519,0.01717080735,0.3704963923,-8.080631233e-06,-1.890422823e-06,1.999036551,1.999036551
0.01678914474,0.009999999776,0,0.2399999946,1,-9.476114428e-06,3.799430488e-05,-0.0167890694,0.01678911597,0.3699897826,-7.249086593e-06,-1.843919108e-06,1.999089718,1.999089718
0.01642877078,0.009999999776,0,0.2700000107,1,-8.149764653e-06,3.448022107e-05,-0.0164287053,0.01642874442,0.36949417,-6.479938293e-06,-1.791213776e-06,1.999137521,1.999137521
0.01609671295,0.009999999776,0,0.3000000119,1,-6.779862815e-06,3.045377889e-05,-0.01609666087,0.01609669067,0.3690087199,-5.785237136e-06,-1.733073077e-06,1.999180317,1.999180317
0.01579699759,0.009999999776,0,0.3300000131,1,-5.362875527e-06,2.625914931e-05,-0.01579695754,0.01579697989,0.3685325682,-5.157853138e-06,-1.670305096e-06,1.999218464,1.999218464
0.01553081155,0.009999999776,0,0.3600000143,1,-4.007859843e-06,2.216009671e-05,-0.01553078182,0.01553079858,0.3680647314,-4.605700269e-06,-1.603920282e-06,1.999252319,1.999252319
0.01529729854,0.009999999776,0,0.3899999857,1,-2.845279596e-06,1.833389979e-05,-0.0152972769,0.01529728808,0.3676041365,-4.133829862e-06,-1.535077899e-06,1.999282837,1.999282837
0.01509449793,0.009999999776,0,0.4199999869,1,-1.897965944e-06,1.488521866e-05,-0.01509448327,0.01509449072,0.3671498001,-3.7345701e-06,-1.464763272e-06,1.999309897,1.999309897
0.01491970906,0.009999999776,0,0.4499999881,1,-1.264727644e-06,1.186273585e-05,-0.01491969917,0.01491970383,0.3667009473,-3.409567626e-06,-1.393798584e-06,1.999334574,1.999334574
